supplier_id,supplier_name,country,region,risk_score,risk_category
SUP-000000,"Brooks, Herring and Carpenter",Saint Helena,Middle East,96.4,High
SUP-000001,Smith PLC,Kazakhstan,Africa,58.7,Medium
SUP-000002,Lopez-Martin,Iceland,Americas,1.3,Low
SUP-000003,Gray-Chapman,Antarctica (the territory South of 60 deg S),Africa,1.3,Low
SUP-000004,"Perez, Contreras and Miles",Saint Barthelemy,Africa,30.8,Low
SUP-000005,"Berg, Rasmussen and Lam",New Zealand,Europe,4.1,Low
SUP-000006,"Gonzalez, Hurst and Tucker",Niue,Americas,0.1,Low
SUP-000007,Juarez-Glover,North Macedonia,Americas,33.3,Medium
SUP-000008,"Medina, Harris and Mcmillan",Norfolk Island,Americas,17.7,Low
SUP-000009,"Weeks, Castaneda and Brown",Pitcairn Islands,Africa,0.3,Low
SUP-000010,Hamilton Inc,Italy,Middle East,1.0,Low
SUP-000011,Tyler-Robertson,Azerbaijan,Americas,3.2,Low
SUP-000012,Holland-Alexander,Nauru,Africa,0.0,
SUP-000013,Martin PLC,Cook Islands,Europe,19.8,Low
SUP-000014,Miller-Burnett,Guam,Middle East,2.8,Low
SUP-000015,"Lopez, Perez and Bowman",Chile,Europe,0.2,Low
SUP-000016,Weber Ltd,Korea,Middle East,0.1,Low
SUP-000017,"Baldwin, Brown and Bowen",Jersey,Africa,0.0,
SUP-000018,Buchanan Group,Bulgaria,Asia,0.0,
SUP-000019,Jones LLC,Saint Pierre and Miquelon,Middle East,0.1,Low
SUP-000020,Bates Group,Ukraine,Europe,14.3,Low
SUP-000021,Carroll-Kim,Namibia,Africa,0.0,
SUP-000022,Cruz-York,Cocos (Keeling) Islands,Middle East,0.1,Low
SUP-000023,"Medina, Gray and Hayes",Malawi,Asia,0.0,
SUP-000024,Roth-Everett,Bahrain,Asia,0.0,
SUP-000025,Rodriguez LLC,Mauritius,Americas,0.0,
SUP-000026,"Jones, Johnson and Chapman",Heard Island and McDonald Islands,Americas,93.5,High
SUP-000027,"Edwards, Freeman and Stewart",United Kingdom,Europe,0.5,Low
SUP-000028,Mullen-Jones,Sudan,Middle East,0.0,
SUP-000029,Williams and Sons,Marshall Islands,Middle East,15.3,Low
SUP-000030,Jones LLC,Egypt,Americas,2.8,Low
SUP-000031,"Scott, Cantu and Banks",Mauritania,Middle East,0.0,
SUP-000032,Moore and Sons,Montserrat,Middle East,2.0,Low
SUP-000033,"Long, Myers and Williams",Uruguay,Asia,0.1,Low
SUP-000034,Hill PLC,Puerto Rico,Americas,0.2,Low
SUP-000035,Clark and Sons,Eritrea,Africa,3.3,Low
SUP-000036,"Cruz, Dennis and Campbell",Cocos (Keeling) Islands,Americas,10.3,Low
SUP-000037,Daniel-Burke,United Arab Emirates,Africa,2.5,Low
SUP-000038,Aguilar Group,Malawi,Asia,4.9,Low
SUP-000039,Robertson-Armstrong,Romania,Europe,0.0,
SUP-000040,Harris-Donovan,Guyana,Middle East,0.0,
SUP-000041,Mendoza-Carlson,Venezuela,Asia,19.0,Low
SUP-000042,Murphy Ltd,Saint Martin,Middle East,18.9,Low
SUP-000043,Hall Ltd,Norfolk Island,Europe,0.0,
SUP-000044,Gonzalez-Jackson,South Georgia and the South Sandwich Islands,Europe,4.2,Low
SUP-000045,Cox Group,Luxembourg,Asia,0.4,Low
SUP-000046,Burgess-Bailey,Lao People's Democratic Republic,Europe,99.0,High
SUP-000047,Guerrero Ltd,India,Africa,0.1,Low
SUP-000048,"Lewis, Allen and Davis",South Georgia and the South Sandwich Islands,Europe,0.0,
